SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,E,3908,EQUITY,0,PREMIERPOL,1,Premier Polyfilm,,,,1,NA,ES,EQ,PREMIER POLYFILM LTD
NSE,E,3912,EQUITY,0,KHAITANLTD,1,Khaitan,,,,1,NA,ES,EQ,KHAITAN (INDIA)LTD.
NSE,E,3918,EQUITY,0,NATCOPHARM,1,Natco Pharma,,,,5,NA,ES,EQ,NATCO PHARMA LTD.
NSE,E,395,EQUITY,0,BEML,1,BEML,,,,10,NA,ES,EQ,BEML LIMITED
NSE,E,3963,EQUITY,0,GOCLCORP,1,GOCL Corporation,,,,5,NA,ES,EQ,GOCL CORPORATION LIMITED
NSE,E,3965,EQUITY,0,REMSONSIND,1,Remsons Industries,,,,1,NA,ES,EQ,REMSONS INDUSTRIES LTD
NSE,E,3972,EQUITY,0,PARASPETRO,1,Paras Petrofils,,,,1,NA,ES,EQ,PARAS PETROFILS LTD.
NSE,E,3980,EQUITY,0,TNPL,1,Tamil Nadu Newsprint & Papers,,,,1,NA,ES,EQ,TAMILNADU NEWSPRT & PAPER
NSE,E,3987,EQUITY,0,GREENPLY,1,Greenply Industries,,,,5,NA,ES,EQ,GREENPLY INDUSTRIES LTD
NSE,E,399,EQUITY,0,NIACL,1,The New India Assurance Company,,,,1,NA,ES,EQ,THE NEW INDIA ASSU CO LTD
NSE,E,4,EQUITY,0,21STCENMGM,1,Twentyfirst Century Management Svcs,,,,1,NA,ES,EQ,21ST CENTURY MGMT SERVICE
NSE,E,40,EQUITY,0,AEGISLOG,1,Aegis Logistics,,,,5,NA,ES,EQ,AEGIS LOGISTICS LIMITED
NSE,E,4007,EQUITY,0,CORALFINAC,1,Coral India Finance,,,,1,NA,ES,EQ,CORAL INDIA FIN & HOUS LT
NSE,E,4010,EQUITY,0,PVP,1,PVP Ventures,,,,1,NA,ES,EQ,PVP VENTURES LIMITED
NSE,E,4014,EQUITY,0,NAVA,1,Nava,,,,5,NA,ES,EQ,NAVA LIMITED
NSE,E,4037,EQUITY,0,AUSOMENT,1,AuSom Enterprise,,,,1,NA,ES,EQ,AUSOM ENTERPRISE LIMITED
NSE,E,404,EQUITY,0,BERGEPAINT,1,Berger Paints,,,,5,NA,ES,EQ,BERGER PAINTS (I) LTD
NSE,E,4040,EQUITY,0,EIMCOELECO,1,Eimco Elecon,,,,10,NA,ES,EQ,EIMCO ELECON (INDIA) LTD
NSE,E,4041,EQUITY,0,JAYAGROGN,1,Jayant Agro Organics,,,,1,NA,ES,EQ,JAYANT AGRO ORGANICS LTD
NSE,E,4055,EQUITY,0,PANACEABIO,1,Panacea Biotec,,,,5,NA,ES,EQ,PANACEA BIOTEC LTD
NSE,E,4064,EQUITY,0,CUBEXTUB,1,Cubex Tubings,,,,1,NA,ES,EQ,CUBEX TUBINGS LTD
NSE,E,4067,EQUITY,0,MARICO,1,Marico,,,,5,NA,ES,EQ,MARICO LIMITED
NSE,E,4105,EQUITY,0,SILINV,1,SIL Investments,,,,5,NA,ES,EQ,SIL INVESTMENTS LIMITED
NSE,E,4116,EQUITY,0,HBSL,1,HB Stockholdings,,,,1,NA,ES,EQ,HB STOCKHOLDINGS LIMITED
NSE,E,4130,EQUITY,0,REGENCERAM,1,Regency Ceramics,,,,1,NA,ES,EQ,REGENCY CERAMICS LTD.
NSE,E,4136,EQUITY,0,BIOFILCHEM,1,Biofil Chemicals,,,,1,NA,ES,EQ,BIOFIL CHEM & PHARMA LTD
NSE,E,4179,EQUITY,0,SUNDRMBRAK,1,Sundaram Brake Linings,,,,5,NA,ES,EQ,SUNDARAM BRAK LININGS LTD
NSE,E,4184,EQUITY,0,SANGAMIND,1,Sangam,,,,5,NA,ES,EQ,SANGAM (INDIA) LTD
NSE,E,419,EQUITY,0,BEPL,1,Bhansali Engineering Polymers,,,,1,NA,ES,EQ,BHANSALI ENG. POLYMERS LT
NSE,E,4201,EQUITY,0,SOMATEX,1,Soma Textiles & Industries,,,,1,NA,ES,EQ,SOMA TEXTILES & INDUST LT
NSE,E,4204,EQUITY,0,MOTHERSON,1,Samvardhana Motherson International,,,,1,NA,ES,EQ,SAMVRDHNA MTHRSN INTL LTD
NSE,E,422,EQUITY,0,BHARATFORG,1,Bharat Forge,,,,10,NA,ES,EQ,BHARAT FORGE LTD
NSE,E,4221,EQUITY,0,VISAKAIND,1,Visaka Industries,,,,1,NA,ES,EQ,VISAKA INDUSTRIES LIMITED
NSE,E,4235,EQUITY,0,WENDT,1,Wendt,,,,50,NA,ES,EQ,WENDT (INDIA) LIMITED
NSE,E,4244,EQUITY,0,HDFCAMC,1,HDFC AMC,,,,10,NA,ES,EQ,HDFC AMC LIMITED
NSE,E,425,EQUITY,0,KHADIM,1,Khadim,,,,5,NA,ES,EQ,KHADIM INDIA LIMITED
NSE,E,426,EQUITY,0,BHARATGEAR,1,Bharat Gears,,,,1,NA,ES,EQ,BHARAT GEARS LTD.
NSE,E,4279,EQUITY,0,DENORA,1,De Nora,,,,5,NA,ES,EQ,DE NORA INDIA LIMITED
NSE,E,4299,EQUITY,0,STERTOOLS,1,Sterling Tools,,,,5,NA,ES,EQ,STERLING TOOLS LIMITED
NSE,E,4306,EQUITY,0,SHRIRAMFIN,1,Shriram Finance,,,,5,NA,ES,EQ,SHRIRAM FINANCE LIMITED
